suburb_full_name,longitude,latitude,points,focal_longitude,focal_latitude,focal_dist,focal_angle,rownumber,hex_long,hex_lat,hex_id,long,lat,point_id,poly_type,sal_code_2021,sal_name_2021,median_rent_weekly,tot_p_m,tot_p_f,tot_p_p,region,incident_counts,incident_rate,safety,affordability,index,text,log10_incident_rate,log10_median_rent_weekly,group,power10_incident_rate,power10_median_rent_weekly
Abbotsford,144.99976745716077,-37.804584712417565,Melbourne,144.97149505660184,-37.824911565733856,3359.7158116511014,47.686478816777786,15,145.01687639095695,-37.806837722420106,20418,145.01687639095695,-37.818384727803895,1,hex,SAL20002,Abbotsford (Vic.),489,5007,4813,9814,Inner Metro Region,1221,12.44141023028327,10.23339317773788,74.86535008976661,36.086175942549374,"Abbotsford 
Population: 9814 
Incident Rate: 12.44 
Median Weekly Rent: 489 
Index: 36.09",1.0948696102999858,2.6893088591236203,Overpriced,12.441410230283267,489.00000000000006
Abbotsford,144.99976745716077,-37.804584712417565,Melbourne,144.97149505660184,-37.824911565733856,3359.7158116511014,47.686478816777786,15,145.01687639095695,-37.806837722420106,20418,145.02687639095694,-37.812611225112,2,hex,SAL20002,Abbotsford (Vic.),489,5007,4813,9814,Inner Metro Region,1221,12.44141023028327,10.23339317773788,74.86535008976661,36.086175942549374,"Abbotsford 
Population: 9814 
Incident Rate: 12.44 
Median Weekly Rent: 489 
Index: 36.09",1.0948696102999858,2.6893088591236203,Overpriced,12.441410230283267,489.00000000000006
Abbotsford,144.99976745716077,-37.804584712417565,Melbourne,144.97149505660184,-37.824911565733856,3359.7158116511014,47.686478816777786,15,145.01687639095695,-37.806837722420106,20418,145.02687639095694,-37.80106421972821,3,hex,SAL20002,Abbotsford (Vic.),489,5007,4813,9814,Inner Metro Region,1221,12.44141023028327,10.23339317773788,74.86535008976661,36.086175942549374,"Abbotsford 
Population: 9814 
Incident Rate: 12.44 
Median Weekly Rent: 489 
Index: 36.09",1.0948696102999858,2.6893088591236203,Overpriced,12.441410230283267,489.00000000000006
Abbotsford,144.99976745716077,-37.804584712417565,Melbourne,144.97149505660184,-37.824911565733856,3359.7158116511014,47.686478816777786,15,145.01687639095695,-37.806837722420106,20418,145.01687639095695,-37.795290717036316,4,hex,SAL20002,Abbotsford (Vic.),489,5007,4813,9814,Inner Metro Region,1221,12.44141023028327,10.23339317773788,74.86535008976661,36.086175942549374,"Abbotsford 
Population: 9814 
Incident Rate: 12.44 
Median Weekly Rent: 489 
Index: 36.09",1.0948696102999858,2.6893088591236203,Overpriced,12.441410230283267,489.00000000000006
Abbotsford,144.99976745716077,-37.804584712417565,Melbourne,144.97149505660184,-37.824911565733856,3359.7158116511014,47.686478816777786,15,145.01687639095695,-37.806837722420106,20418,145.00687639095696,-37.80106421972821,5,hex,SAL20002,Abbotsford (Vic.),489,5007,4813,9814,Inner Metro Region,1221,12.44141023028327,10.23339317773788,74.86535008976661,36.086175942549374,"Abbotsford 
Population: 9814 
Incident Rate: 12.44 
Median Weekly Rent: 489 
Index: 36.09",1.0948696102999858,2.6893088591236203,Overpriced,12.441410230283267,489.00000000000006
Abbotsford,144.99976745716077,-37.804584712417565,Melbourne,144.97149505660184,-37.824911565733856,3359.7158116511014,47.686478816777786,15,145.01687639095695,-37.806837722420106,20418,145.00687639095696,-37.812611225112,6,hex,SAL20002,Abbotsford (Vic.),489,5007,4813,9814,Inner Metro Region,1221,12.44141023028327,10.23339317773788,74.86535008976661,36.086175942549374,"Abbotsford 
Population: 9814 
Incident Rate: 12.44 
Median Weekly Rent: 489 
Index: 36.09",1.0948696102999858,2.6893088591236203,Overpriced,12.441410230283267,489.00000000000006
Aberfeldie,144.89740379512884,-37.75957572978099,Melbourne,144.97149505660184,-37.824911565733856,9755.867318698552,-41.84193359084688,74,144.90687639095694,-37.754876198193045,20983,144.90687639095694,-37.766423203576835,1,hex,SAL20003,Aberfeldie,507,2083,2161,4238,Western Region,131,3.0910806984426618,69.47935368043088,80.43087971274686,73.85996409335726,"Aberfeldie 
Population: 4238 
Incident Rate: 3.09 
Median Weekly Rent: 507 
Index: 73.86",0.4901103432809885,2.705007959333336,Premium Safe,3.0910806984426618,507.00000000000006
Aberfeldie,144.89740379512884,-37.75957572978099,Melbourne,144.97149505660184,-37.824911565733856,9755.867318698552,-41.84193359084688,74,144.90687639095694,-37.754876198193045,20983,144.91687639095693,-37.76064970088494,2,hex,SAL20003,Aberfeldie,507,2083,2161,4238,Western Region,131,3.0910806984426618,69.47935368043088,80.43087971274686,73.85996409335726,"Aberfeldie 
Population: 4238 
Incident Rate: 3.09 
Median Weekly Rent: 507 
Index: 73.86",0.4901103432809885,2.705007959333336,Premium Safe,3.0910806984426618,507.00000000000006
Aberfeldie,144.89740379512884,-37.75957572978099,Melbourne,144.97149505660184,-37.824911565733856,9755.867318698552,-41.84193359084688,74,144.90687639095694,-37.754876198193045,20983,144.91687639095693,-37.74910269550115,3,hex,SAL20003,Aberfeldie,507,2083,2161,4238,Western Region,131,3.0910806984426618,69.47935368043088,80.43087971274686,73.85996409335726,"Aberfeldie 
Population: 4238 
Incident Rate: 3.09 
Median Weekly Rent: 507 
Index: 73.86",0.4901103432809885,2.705007959333336,Premium Safe,3.0910806984426618,507.00000000000006
Aberfeldie,144.89740379512884,-37.75957572978099,Melbourne,144.97149505660184,-37.824911565733856,9755.867318698552,-41.84193359084688,74,144.90687639095694,-37.754876198193045,20983,144.90687639095694,-37.743329192809256,4,hex,SAL20003,Aberfeldie,507,2083,2161,4238,Western Region,131,3.0910806984426618,69.47935368043088,80.43087971274686,73.85996409335726,"Aberfeldie 
Population: 4238 
Incident Rate: 3.09 
Median Weekly Rent: 507 
Index: 73.86",0.4901103432809885,2.705007959333336,Premium Safe,3.0910806984426618,507.00000000000006
